# File: A52.India_transport_structure_complete.csv
# Title: India_transport_structure_complete
# Units: NA
# Source:abc
# Column types: nccccccin
# ----------
GCAM_region_ID,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,fuel,year,value
17,Passenger,HSR,All,Electric,Electricity,electricity,1971,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1972,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1973,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1974,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1975,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1976,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1977,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1978,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1979,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1980,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1981,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1982,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1983,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1984,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1985,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1986,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1987,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1988,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1989,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1990,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1991,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1992,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1993,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1994,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1995,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1996,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1997,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1998,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,1999,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2000,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2001,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2002,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2003,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2004,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2005,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2006,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2007,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2008,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2009,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2010,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2011,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2012,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2013,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2014,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2015,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2016,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2017,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2018,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2019,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2020,0.000001
17,Passenger,HSR,All,Electric,Electricity,electricity,2021,0.000001
17,Freight,Truck,All,BEV,Electricity,electricity,1971,0.000001
